date,country,rank,previous_rank,total_points,previous_points,conf
2026-06-11,Jamaica,71,71,1357.84,1358.0,CONCACAF
2026-06-11,Georgia,72,72,1355.26,1350.18,UEFA
2026-06-11,Ghana,73,74,1346.88,1346.31,CAF
2026-06-11,Iceland,74,75,1342.77,1345.07,UEFA
2026-06-11,Finland,75,73,1341.92,1346.41,UEFA
2026-06-11,Israel,76,77,1333.9,1328.33,UEFA
2026-06-11,Bolivia,77,76,1326.0,1329.42,CONMEBOL
2026-06-11,Kosovo,78,78,1319.12,1318.83,UEFA
2026-06-11,Oman,79,79,1306.9,1313.46,AFC
2026-06-11,Montenegro,80,81,1301.98,1295.52,UEFA
2026-06-11,Guinea,81,80,1295.6,1300.01,CAF
2026-06-11,Curaçao,82,82,1294.77,1294.65,CONCACAF
2026-06-11,Haiti,83,83,1293.1,1291.71,CONCACAF
2026-06-11,Syria,84,84,1283.05,1288.56,AFC
2026-06-11,New Zealand,85,85,1275.58,1281.57,OFC
2026-06-11,Gabon,86,87,1272.51,1272.51,CAF
2026-06-11,Bulgaria,87,86,1271.68,1278.9,UEFA
2026-06-11,Angola,88,89,1265.58,1263.1,CAF
2026-06-11,Uganda,89,88,1264.09,1264.09,CAF
2026-06-11,Zambia,90,92,1255.82,1255.82,CAF
2026-06-11,China PR,91,94,1254.81,1251.6,AFC
2026-06-11,Bahrain,92,91,1254.41,1258.53,AFC
2026-06-11,Benin,93,90,1252.17,1258.98,CAF
2026-06-11,Thailand,94,93,1250.8,1252.14,AFC
2026-06-11,Palestine,95,95,1243.71,1244.73,AFC
2026-06-11,Belarus,96,97,1242.88,1235.82,UEFA
2026-06-11,Guatemala,97,96,1238.74,1243.47,CONCACAF
2026-06-11,Luxembourg,98,98,1232.82,1227.77,UEFA
2026-06-11,Vietnam,99,99,1225.68,1225.68,AFC
2026-06-11,El Salvador,100,100,1225.34,1225.26,CONCACAF
